SimulationName,DataSource,DataStoragePrecision,GeographicPrecision,TemporalPrecision,GridSpacing,QueryTime,DatabaseSize,UsedSystemMemory,CPU %,Date
Sim1416920291965,SIMULATION,7,100,100,15,0,755219,38099.0,0.0,06:58:17.332
Sim1416920291965,SIMULATION,7,100,100,15,0,755247,18527.0,1.3844703724005867,06:58:27.963
Sim1416920291965,SIMULATION,7,100,100,15,0,755275,32929.0,0.9404776013343095,06:58:44.940
Sim1416920291965,SIMULATION,7,100,100,45,0,755278,48863.0,0.3321704600219392,07:00:25.131
Sim1416920291965,SIMULATION,7,100,100,15,0,755306,66084.0,0.41530821855330663,07:01:45.105
