SimulationName,DataSource,DataStoragePrecision,GeographicPrecision,TemporalPrecision,GridSpacing,QueryTime,DatabaseSize,UsedSystemMemory,CPU %,Date
Sim1416977541393,SIMULATION,7,100,100,15,0,336,32568.0,0.0,10:52:29.032
Sim1416977541393,SIMULATION,7,100,100,15,0,364,39123.0,0.5701118993527903,10:52:39.079
Sim1416977541393,SIMULATION,7,100,100,15,0,392,45680.0,1.0704445375033447,10:52:49.132
Sim1416977541393,SIMULATION,7,100,100,15,0,420,49613.0,0.1499783871875386,10:52:59.179
Sim1416977541393,SIMULATION,7,100,100,15,0,448,56169.0,0.15436995416701185,10:53:09.211
Sim1416977541393,SIMULATION,7,100,100,15,0,476,61414.0,0.19097344206216682,10:53:19.259
Sim1416977541393,SIMULATION,7,100,100,15,0,504,65348.0,0.12379272431989137,10:53:29.299
Sim1416977541393,SIMULATION,7,100,100,15,0,532,16414.0,0.23872371558633235,10:53:39.342
Sim1416977541393,SIMULATION,7,100,100,15,0,560,22205.0,0.10237825654314961,10:53:49.388
Sim1416977541393,SIMULATION,7,100,100,15,0,588,26238.0,0.24375306466346572,10:53:59.432
Sim1416977541393,SIMULATION,7,100,100,15,0,616,31020.0,0.1434505063556888,10:54:09.468
Sim1416977541393,SIMULATION,7,100,100,15,0,644,36719.0,0.09999815882566915,10:54:19.516
Sim1416977541393,SIMULATION,7,100,100,15,0,672,41502.0,0.23701604432384732,10:54:29.559
Sim1416977541393,SIMULATION,7,100,100,15,0,700,47296.0,0.10432346191956267,10:54:39.590
Sim1416977541393,SIMULATION,7,100,100,15,0,728,51329.0,0.1053374668509319,10:54:49.630
Sim1416977541393,SIMULATION,7,100,100,15,0,756,57120.0,0.13522321264437734,10:54:59.667
Sim1416977541393,SIMULATION,7,100,100,15,0,784,61155.0,0.09569979543554229,10:55:09.711
Sim1416977541393,SIMULATION,7,100,100,15,0,812,65938.0,0.08833797801478724,10:55:19.754
Sim1416977541393,SIMULATION,7,100,100,15,0,840,70982.0,0.08475236377880097,10:55:29.800
Sim1416977541393,SIMULATION,7,100,100,15,0,868,9657.0,0.14669726776696945,10:55:39.834
Sim1416977541393,SIMULATION,7,100,100,15,0,896,14829.0,0.15455935525629846,10:55:49.870
Sim1416977541393,SIMULATION,7,100,100,15,0,924,19573.0,0.14242935750869287,10:55:59.910
Sim1416977541393,SIMULATION,7,100,100,15,0,952,24319.0,0.09686354082791206,10:56:09.941
Sim1416977541393,SIMULATION,7,100,100,15,0,980,29065.0,0.12291104162502582,10:56:19.977
Sim1416977541393,SIMULATION,7,100,100,15,0,1008,33284.0,0.13586248380243449,10:56:30.012
Sim1416977541393,SIMULATION,7,100,100,15,0,1036,38031.0,0.07612128617600299,10:56:40.054
Sim1416977541393,SIMULATION,7,100,100,15,0,1064,42776.0,0.09320970382965856,10:56:50.093
Sim1416977541393,SIMULATION,7,100,100,15,0,1092,47522.0,0.09045635078329936,10:57:00.134
Sim1416977541393,SIMULATION,7,100,100,15,0,1120,53320.0,0.1599565111498126,10:57:10.164
