SimulationName,DataSource,DataStoragePrecision,GeographicPrecision,TemporalPrecision,GridSpacing,QueryTime,DatabaseSize,UsedSystemMemory,CPU %,Date
Sim1417391563330,SIMULATION,7,100,100,15,10136139,28,32811.0,0.0,05:52:46.149
Sim1417391563330,SIMULATION,7,100,100,15,0,56,40675.0,0.0,05:52:46.192
Sim1417391563330,SIMULATION,7,100,100,15,0,84,24674.0,0.0,05:52:56.259
Sim1417391563330,SIMULATION,7,100,100,15,0,112,41780.0,0.0,05:53:06.308
Sim1417391563330,SIMULATION,7,100,100,15,0,140,59610.0,0.0,05:53:16.357
