SimulationName,DataSource,DataStoragePrecision,GeographicPrecision,TemporalPrecision,GridSpacing,QueryTime,DatabaseSize,UsedSystemMemory,CPU %,Date
Sim1416977847008,SIMULATION,7,100,100,15,0,1148,37824.0,0.0,10:57:29.600
Sim1416977847008,SIMULATION,7,100,100,15,0,1176,24581.0,0.8011933876732911,10:57:39.673
Sim1416977847008,SIMULATION,7,100,100,15,0,1204,43464.0,0.7239149166250333,10:57:49.749
Sim1416977847008,SIMULATION,7,100,100,15,0,1232,60383.0,0.7045966162179107,10:57:59.817
Sim1416977847008,SIMULATION,7,100,100,15,0,1260,12100.0,0.4083301761113653,10:58:09.878
Sim1416977847008,SIMULATION,7,100,100,15,0,1288,26907.0,0.369175167210614,10:58:19.937
